,Punctuation,Tags,Citations,Numeric,Capitals,Unique_Words,Word_Counts,Short_Words,Medium_Words,Long_Words,Positive_Score,Negative_Score,Intensity_Score
0,15.0,13.0,0.0,110.0,138.0,219.0,474.0,382.0,78.0,14.0,53.0,32.0,163.33333333333334
1,0.0,0.0,0.0,4.0,88.0,183.0,304.0,213.0,72.0,19.0,15.0,16.0,62.33333333333333
2,6.0,17.0,0.0,99.0,308.0,287.0,565.0,445.0,92.0,28.0,24.0,37.5,114.0
3,1.0,8.0,0.0,75.0,123.0,229.0,430.0,329.0,81.0,20.0,21.0,10.5,75.5
4,0.0,0.0,0.0,0.0,63.0,213.0,420.0,350.0,60.0,10.0,22.0,13.0,60.99999999999999
5,1.0,0.0,0.0,0.0,54.0,178.0,312.0,258.0,44.0,10.0,14.5,21.0,69.0
6,6.0,4.0,0.0,50.0,122.0,181.0,346.0,272.0,60.0,14.0,22.0,21.0,84.66666666666667
7,1.0,0.0,0.0,14.0,63.0,209.0,373.0,288.0,69.0,16.0,25.0,15.0,76.33333333333333
8,0.0,2.0,0.0,18.0,121.0,243.0,453.0,336.0,99.0,18.0,38.0,26.0,129.0
9,0.0,0.0,0.0,0.0,54.0,174.0,286.0,228.0,51.0,7.0,24.5,17.333333333333332,80.16666666666666
10,0.0,1.0,0.0,6.0,75.0,195.0,357.0,292.0,57.0,8.0,22.0,15.0,82.0
11,0.0,2.0,0.0,26.0,38.0,164.0,271.0,216.0,46.0,9.0,13.5,9.666666666666668,55.16666666666666
12,0.0,0.0,0.0,16.0,99.0,214.0,386.0,312.0,60.0,14.0,39.0,8.0,90.5
13,1.0,1.0,0.0,16.0,54.0,147.0,281.0,236.0,36.0,9.0,21.0,14.0,88.66666666666666
14,3.0,1.0,0.0,15.0,88.0,257.0,497.0,414.0,72.0,11.0,43.0,30.666666666666668,122.0
15,1.0,0.0,0.0,0.0,71.0,211.0,369.0,293.0,65.0,11.0,30.0,23.0,112.33333333333331
16,3.0,16.0,0.0,89.0,220.0,234.0,442.0,332.0,84.0,26.0,28.0,12.0,90.33333333333331
17,0.0,0.0,0.0,0.0,60.0,173.0,310.0,207.0,88.0,15.0,25.0,8.0,66.33333333333333
18,5.0,1.0,0.0,8.0,108.0,237.0,452.0,359.0,82.0,11.0,25.0,22.5,108.5
19,4.0,18.0,0.0,108.0,214.0,226.0,419.0,304.0,104.0,11.0,27.5,12.333333333333332,67.5
20,2.0,4.0,0.0,21.0,99.0,252.0,490.0,385.0,83.0,22.0,26.0,14.0,92.33333333333334
21,0.0,1.0,0.0,0.0,58.0,207.0,340.0,256.0,77.0,7.0,16.0,22.0,71.66666666666666
