Word,Intensity,Valence,Position
abandoned,1,-1,adj
abandonment,1,-1,noun
abandon,1,-1,verb
abase,2,-1,verb
abasement,2,-1,anypos
abash,2,-1,verb
abate,1,-1,verb
abdicate,1,-1,verb
aberration,2,-1,adj
aberration,2,-1,noun
abhor,2,-1,anypos
abhor,2,-1,verb
abhorred,2,-1,adj
abhorrence,2,-1,noun
abhorrent,2,-1,adj
abhorrently,2,-1,anypos
abhors,2,-1,adj
abhors,2,-1,noun
abidance,2,1,adj
abidance,2,1,noun
abide,2,1,anypos
abject,2,-1,adj
abjectly,2,-1,adverb
abjure,1,-1,verb
abilities,1,1,noun
ability,1,1,noun
able,1,1,adj
abnormal,1,-1,adj
abolish,1,-1,verb
abominable,2,-1,adj
abominably,2,-1,anypos
abominate,2,-1,verb
abomination,2,-1,noun
above,1,1,anypos
above-average,1,1,adj
abound,1,1,verb
abrade,1,-1,verb
abrasive,2,-1,adj
abrupt,1,-1,adj
abscond,2,-1,verb
absence,1,-1,noun
absentee,1,-1,anypos
absent-minded,2,-1,adj
absolve,2,1,verb
absolute,2,0,adj
absolutely,2,0,adj
absorbed,1,0,verb
absurd,2,-1,adj
absurdity,2,-1,noun
absurdly,2,-1,anypos
absurdness,2,-1,noun
abundant,1,1,adj
abundance,1,1,noun
abuse,1,-1,adj
abuse,1,-1,noun
abuse,2,-1,verb
abuses,1,-1,adj
abuses,1,-1,noun
abusive,2,-1,adj
abysmal,2,-1,adj
abysmally,2,-1,anypos
abyss,2,-1,noun
accede,2,1,verb
accentuate,2,0,verb
accept,1,1,verb
acceptance,1,1,noun
acceptable,1,1,adj
accessible,1,1,adj
accidental,1,-1,adj
acclaim,2,1,noun
acclaim,2,1,verb
acclaimed,2,1,adj
acclamation,2,1,anypos
accolade,2,1,noun
accolades,2,1,noun
accommodative,1,1,adj
accomplish,1,1,verb
accomplishment,1,1,noun
accomplishments,1,1,noun
accord,1,1,verb
accordance,1,1,noun
accordantly,1,1,adverb
accost,1,-1,verb
accountable,1,-1,adj
accurate,1,1,adj
accurately,1,1,adj
accursed,2,-1,adj
accusation,2,-1,adj
accusation,2,-1,noun
accusations,2,-1,adj
accusations,2,-1,noun
accuse,2,-1,verb
accuses,2,-1,verb
accusing,2,-1,anypos
accusingly,2,-1,anypos
acerbate,2,-1,verb
acerbic,2,-1,adj
acerbically,2,-1,adverb
ache,2,-1,verb
achievable,1,1,adj
achieve,1,1,verb
achievement,1,1,anypos
achievements,1,1,anypos
acknowledge,1,1,verb
acknowledgement,1,1,noun
acquit,1,1,verb
acrid,2,-1,adj
acridly,2,-1,anypos
acridness,2,-1,noun
acrimonious,2,-1,adj
acrimoniously,2,-1,anypos
acrimony,2,-1,noun
active,1,1,adj
activist,2,0,adj
activist,2,0,noun
actual,2,0,anypos
actuality,2,0,anypos
actually,2,0,anypos
acumen,2,1,noun
adamant,2,-1,adj
adamantly,2,-1,anypos
adaptable,1,1,adj
adaptability,1,1,noun
adaptive,1,1,adj
addict,1,-1,noun
addiction,1,-1,noun
adept,1,1,adj
adeptly,1,1,adverb
adequate,1,1,adj
adherence,1,1,noun
adherent,1,1,adj
adhesion,1,1,noun
admirable,2,1,adj
admirer,2,1,noun
admirable,2,1,anypos
admirably,2,1,anypos
admiration,2,1,noun
admire,2,1,verb
admiring,2,1,adj
admiringly,2,1,adj
admission,1,1,adj
admission,1,1,noun
admit,2,1,verb
admittedly,2,1,anypos
admonish,2,-1,verb
admonisher,2,-1,anypos
admonishingly,2,-1,anypos
admonishment,2,-1,anypos
admonition,2,-1,noun
adolescents,2,0,adj
adolescents,2,0,noun
adorable,2,1,adj
adore,2,1,verb
adored,2,1,adj
adorer,2,1,anypos
adorer,2,1,noun
adoring,2,1,adj
adoringly,2,1,anypos
adrift,1,-1,anypos
adroit,2,1,adj
adroitly,2,1,adj
adulate,2,1,verb
adulation,2,1,anypos
adulatory,2,1,adj
adulterate,2,-1,verb
adulterated,2,-1,anypos
adulteration,2,-1,noun
advanced,1,1,adj
advantage,1,1,adj
advantage,1,1,noun
advantageous,2,1,adj
advantages,1,1,adj
advantages,1,1,noun
adventure,1,1,adj
adventure,1,1,noun
adventuresome,2,1,noun
adventurism,2,1,noun
adventurous,1,1,adj
adversarial,1,-1,adj
adversary,1,-1,noun
adverse,1,-1,adj
adversity,2,-1,noun
advice,1,1,adj
advice,1,1,noun
advisable,1,1,noun
advocate,2,1,verb
advocacy,2,1,noun
affable,2,1,adj
affability,1,1,noun
affably,1,1,adverb
affect,1,0,verb
affectation,1,-1,noun
affected,2,0,adj
affection,2,1,adj
affection,2,1,noun
affectionate,2,1,adj
affinity,1,1,noun
affirm,2,1,verb
affirmation,2,1,adj
affirmation,2,1,noun
affirmative,1,1,noun
afflict,1,-1,verb
affliction,1,-1,noun
afflictive,2,-1,adj
affluent,1,1,adj
affluence,1,1,noun
afford,1,1,verb
affordable,1,1,adj
affront,2,-1,noun
affront,2,-1,verb
afloat,1,1,adj
afraid,2,-1,adj
against,1,-1,anypos
aggravate,2,-1,verb
aggravating,2,-1,adj
aggravation,2,-1,noun
aggression,2,-1,adj
aggression,2,-1,noun
aggressive,2,-1,anypos
aggressiveness,2,-1,noun
aggressor,2,-1,noun
aggrieve,2,-1,verb
aggrieved,2,-1,adj
aghast,2,-1,adj
agile,1,1,adj
agilely,1,1,adverb
agility,1,1,noun
