,Punctuation,Tags,Citations,Numeric,Capitals,Unique_Words,Word_Counts,Short_Words,Medium_Words,Long_Words,Positive_Score,Negative_Score,Intensity_Score
0,0.0,0.0,0.0,33.0,155.0,366.0,736.0,530.0,175.0,31.0,43.0,15.833333333333334,96.16666666666666
1,0.0,0.0,0.0,16.0,119.0,299.0,615.0,411.0,161.0,43.0,53.5,11.5,111.16666666666666
2,0.0,0.0,0.0,8.0,117.0,222.0,455.0,330.0,106.0,19.0,31.0,17.333333333333336,97.33333333333331
3,0.0,0.0,0.0,10.0,110.0,209.0,373.0,251.0,99.0,23.0,20.0,9.0,54.66666666666666
4,2.0,0.0,0.0,62.0,200.0,356.0,835.0,608.0,207.0,20.0,20.0,29.0,96.0
5,0.0,0.0,0.0,14.0,205.0,305.0,592.0,429.0,143.0,20.0,38.66666666666667,17.333333333333332,94.66666666666666
6,0.0,0.0,0.0,6.0,143.0,296.0,537.0,412.0,104.0,21.0,34.0,18.0,102.33333333333331
7,3.0,4.0,0.0,25.0,59.0,93.0,127.0,97.0,25.0,5.0,5.0,8.0,28.333333333333336
8,2.0,3.0,0.0,12.0,92.0,78.0,97.0,70.0,23.0,4.0,4.0,2.0,15.0
9,0.0,0.0,0.0,2.0,31.0,55.0,67.0,45.0,19.0,3.0,3.0,7.0,16.0
10,0.0,0.0,0.0,21.0,81.0,203.0,391.0,284.0,103.0,4.0,13.0,15.0,51.0
11,0.0,0.0,0.0,26.0,157.0,291.0,612.0,452.0,135.0,25.0,35.0,17.0,98.33333333333331
12,1.0,3.0,0.0,7.0,41.0,80.0,95.0,69.0,21.0,5.0,5.0,4.0,21.0
13,1.0,7.0,1.0,76.0,78.0,99.0,172.0,129.0,34.0,9.0,8.0,0.0,20.333333333333336
14,1.0,0.0,0.0,4.0,110.0,198.0,345.0,252.0,85.0,8.0,14.0,11.0,46.33333333333333
15,0.0,0.0,0.0,17.0,70.0,237.0,438.0,306.0,116.0,16.0,20.0,9.0,62.0
16,0.0,0.0,0.0,24.0,189.0,298.0,682.0,475.0,185.0,22.0,42.0,11.0,98.33333333333331
